commune,quartier,sous_quartier,cite,village,carrefour,alias_google_maps,type_source,remarque,source
Port-Bouët,Céleste (Port-Bouët),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Casier,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Siaba,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Santé (Port-Bouët),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Chapelle (quartier),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Cévenole,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Commissariat (quartier),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Bloc 500,,,,,Iroh Bloc 500,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,CNRA V1,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,CNRA V2,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Port-Bouët,Abattoir,,,,,Abattoir 1|2|3,Quartier,Abattoir municipal / District,abidjan_localites_base_donnees.xlsx
Port-Bouët,Camp Douane (Port-Bouët),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Treichville,,,,Dugbéyo,,,Village fondateur,"Village Ébrié Bidjan fondateur, déplacé lors de la construction du chemin de fer",abidjan_localites_base_donnees.xlsx
Treichville,Arras,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Treichville,Biafra,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Treichville,Belleville (Treichville),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Treichville,Zone 2b,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Treichville,Zone 3,,,,,,Quartier,Zone commerçante (rue 12),abidjan_localites_base_donnees.xlsx
Treichville,Nanan Yamousso,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Treichville,Quartier France-Amérique,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Treichville,Cité Policière,,,,,Cité policière du Pont FHB,Quartier,,abidjan_localites_base_donnees.xlsx
Treichville,Cité Douanière,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Treichville,Cité du Port,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Treichville,Avenue 21 / Petit marché,,,,,,Quartier,Zone de marché,abidjan_localites_base_donnees.xlsx
Yopougon,,,,Azito,,Azito Village,Village,"Village, centrale électrique à proximité",abidjan_localites_base_donnees.xlsx
Yopougon,,,,Andokoi,,,Village,Village / quartier,abidjan_localites_base_donnees.xlsx
Yopougon,,,,Kouté,,Kouté village,Village,Village,abidjan_localites_base_donnees.xlsx
Yopougon,,,,Lokoua,,Niangon Lokoa,Village,Village,abidjan_localites_base_donnees.xlsx
Yopougon,,,,Béago,,,Village,Village,abidjan_localites_base_donnees.xlsx
Yopougon,,,,Attié (Yopougon),,Yopougon-Attié,Village,Village,abidjan_localites_base_donnees.xlsx
Yopougon,Sicogi (Yopougon),,,,,,Quartier,Quartier résidentiel construit ~1970,abidjan_localites_base_donnees.xlsx
Yopougon,Sogefiha (Yopougon),,,,,,Quartier,Quartier résidentiel,abidjan_localites_base_donnees.xlsx
Yopougon,Selmer,,,,,,Quartier,Quartier construit ~1970,abidjan_localites_base_donnees.xlsx
Yopougon,,Niangon,,,,,Secteur,Grand secteur résidentiel,abidjan_localites_base_donnees.xlsx
Yopougon,,Niangon Nord,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,,Niangon Sud,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,,Niangon à droite,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,,Niangon à gauche,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,,Niangon Adjamé,,,,Niangon Adjèmin,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,,Niangon Lokoa,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,,Niangon Sud - Sicogi,,,,,Sous-quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,,Niangon Académie,,,,,Sous-quartier,Académie des Sciences et Métiers de la Mer,abidjan_localites_base_donnees.xlsx
Yopougon,Toits-Rouges,,,,,Toit-Rouge,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Sideci,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Maroc,,,,,Quartier Maroc,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Wassakara,,,,,,Quartier,Quartier précaire,abidjan_localites_base_donnees.xlsx
Yopougon,Djao Séhi,,,,,Yao Séhi,Quartier,Quartier précaire,abidjan_localites_base_donnees.xlsx
Yopougon,Sicobois,,,,,,Quartier,Quartier précaire (habitat en bois),abidjan_localites_base_donnees.xlsx
Yopougon,Mon Mari M'a Laissé,,,,,,Quartier,Quartier précaire,abidjan_localites_base_donnees.xlsx
Yopougon,Doukouré,,,,,,Quartier,Quartier précaire,abidjan_localites_base_donnees.xlsx
Yopougon,Banco-Nord,,,,,Banco nord,Quartier,Quartier résidentiel,abidjan_localites_base_donnees.xlsx
Yopougon,Banco-Sud,,,,,Banco Sud,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Quartier Millionnaire,,,,,Millionaire,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Cité Verte,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Lièvre Rouge,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Ananeraie,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Gesco,,,,,,Quartier,Zone industrielle / entrée stratégique,abidjan_localites_base_donnees.xlsx
Yopougon,Zone Industrielle (Yopougon),,,,,,Quartier,Plus grande zone industrielle du pays,abidjan_localites_base_donnees.xlsx
Yopougon,Sopim (Yopougon),,,,,Sopim résidentiel,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Attié / Banco 2 / Gare,,,,,Yopougon-Attié,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Andokoi (quartier),,,,,,Quartier,"Quartier populaire, réputation sécuritaire sensible",abidjan_localites_base_donnees.xlsx
Yopougon,Bel Air (Yopougon),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Bonikro,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Camp Militaire (Yopougon),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Fin Goudron,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Gare (Yopougon),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,GFCI,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Johnykro,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Keneya,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Kilomètre 17 (Yopougon),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Koweit (Yopougon),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Les Pays-Bas,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Mamie Adjoua,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Moussikro (Yopougon),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Nouveau Quartier,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Quartier LEM,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Quartier Résidentiel (Yopougon),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Sable,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Audoin (Yopougon),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Yopougon,Ficgayo,,,,,,Quartier,Lieu-dit historique près de l'axe du 2e pont,abidjan_localites_base_donnees.xlsx
Yopougon,Siporex,,,,,,Quartier,Gare / lieu-dit,abidjan_localites_base_donnees.xlsx
Yopougon,Saguidiba,,,,,,Quartier,Ancien cinéma / lieu-dit,abidjan_localites_base_donnees.xlsx
Anyama,,,,Akéikoi,,Akeikoi,Village,Village entre Abobo et Anyama,abidjan_localites_base_donnees.xlsx
Anyama,,,,Ahouabo,,Anyama-Ahouabo,Village,Village Gnan/Attié,abidjan_localites_base_donnees.xlsx
Anyama,,,,Anyama-Adjamé,,,Village,Village,abidjan_localites_base_donnees.xlsx
Anyama,,,,Yapokoi,,,Village,Village,abidjan_localites_base_donnees.xlsx
Anyama,,,,Ebimpé,,,Village,Site du Stade Alassane Ouattara,abidjan_localites_base_donnees.xlsx
Anyama,,,,Azaguié-Blida,,,Village,Village,abidjan_localites_base_donnees.xlsx
Anyama,,,,Quatre Croix,,,Village,Village,abidjan_localites_base_donnees.xlsx
Anyama,,,,Thomasset,,,Village,Village,abidjan_localites_base_donnees.xlsx
Anyama,,,,Abbébroukoi,,Abbe broukoi|Abèbroukoi,Village,Village,abidjan_localites_base_donnees.xlsx
Anyama,,,,Anyama-Débarcadère,,,Village,Village,abidjan_localites_base_donnees.xlsx
Anyama,Michelbougou,,,,,,Quartier,Quartier,abidjan_localites_base_donnees.xlsx
Anyama,Anyama Gare,,,,,,Quartier,"Autour de la gare ferroviaire, fondation historique (1905)",abidjan_localites_base_donnees.xlsx
Anyama,Palmeraie (Anyama),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Anyama,Zossonkoi,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Anyama,Résidentiel (Anyama),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Anyama,Schneider,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Anyama,Belle-Ville (Anyama),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Anyama,Quartier Sylla,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Anyama,RAN,,,,,Ran|Ran Extension,Quartier,,abidjan_localites_base_donnees.xlsx
Anyama,CGE,,,,,CEG|CGE Extension,Quartier,,abidjan_localites_base_donnees.xlsx
Anyama,Christiankoi I,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Anyama,Christiankoi II,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Anyama,Anyama PK18,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Anyama,Derrière Rail,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Anyama,,,,Anyama-Zansakoi,,Odiennékabougou|Odiennékaïbra,Village,"Village de planteurs Attié, rejoint la voie ferrée en 1923",abidjan_localites_base_donnees.xlsx
Bingerville,,,,Ebrah,,,Village,Village,abidjan_localites_base_donnees.xlsx
Bingerville,,,,Achokoi,,,Village,Village,abidjan_localites_base_donnees.xlsx
Bingerville,,,,Aguien,,Aghien,Village,"Village, lac Aghien",abidjan_localites_base_donnees.xlsx
Bingerville,,,,Akoué Agban Bingerville,,Akouai-Agban,Village,Village,abidjan_localites_base_donnees.xlsx
Bingerville,,,,Akoyaté,,Akoyate,Village,Village,abidjan_localites_base_donnees.xlsx
Bingerville,,,,Brégbo,,Bregbo,Village,Village,abidjan_localites_base_donnees.xlsx
Bingerville,,,,Éloka-Té,,Eloka-Té,Village,Village,abidjan_localites_base_donnees.xlsx
Bingerville,,,,Éloka-To,,Eloka-To,Village,Village,abidjan_localites_base_donnees.xlsx
Bingerville,,,,M'Batto-Bouaké,,M'batto-Bouaké,Village,Village,abidjan_localites_base_donnees.xlsx
Bingerville,,,,Akouédo (Bingerville),,Akouédo-Attié,Village,"Village, partagé avec Cocody historiquement",abidjan_localites_base_donnees.xlsx
Bingerville,,,,Abatta,,Abatta Village,Village,Village côtier,abidjan_localites_base_donnees.xlsx
Bingerville,,,,Akandjé,,,Village,Village,abidjan_localites_base_donnees.xlsx
Bingerville,,,,Adjin,,,Village,"Village, issu de la scission historique du village-mère",abidjan_localites_base_donnees.xlsx
Bingerville,Adjamé Bingerville,,,,,Akwè Djèmin,Quartier,Quartier/village historique,abidjan_localites_base_donnees.xlsx
Bingerville,Adama,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Bangui (Bingerville),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Carrière 1,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Carrière 2,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Chantier,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,,,Cité Adé Mensah,,,Cité Ade Mensa,Cité,,abidjan_localites_base_donnees.xlsx
Bingerville,,,Cité Bénet,,,Cité Benet,Cité,,abidjan_localites_base_donnees.xlsx
Bingerville,,,Cité CIE,,,,Cité,,abidjan_localites_base_donnees.xlsx
Bingerville,,,Cité Hévéa,,,Cité Hevea,Cité,,abidjan_localites_base_donnees.xlsx
Bingerville,,,Cité Marina,,,,Cité,,abidjan_localites_base_donnees.xlsx
Bingerville,,,Cité Olympe,,,Cité Olympe Promogim,Cité,,abidjan_localites_base_donnees.xlsx
Bingerville,,,Cité de la Celle,,,,Cité,,abidjan_localites_base_donnees.xlsx
Bingerville,,,Cité Palma,,,,Cité,,abidjan_localites_base_donnees.xlsx
Bingerville,,,Cité Promogim Athena,,,,Cité,,abidjan_localites_base_donnees.xlsx
Bingerville,Coup de Frein,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Gbagba,,,,,Gbagba Extension,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Kessé,,,,,Feh Kessé|Cité Kessé-Féh,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Marché (Bingerville),,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Blanchon A,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Blanchon B,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Mitterrand,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Paris-Village,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Riviéra 6,,,,,Faya - Riviéra 5/6,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Santé (Bingerville),,,,,Akoué Santé,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Santé 2,,,,,Akoue Santé 2,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Sicogi 1,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Sicogi 2,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Syndicat,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Domouégo,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Bokate,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Ana,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Angoran,,,,,Angorankoi,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Ogriville,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Mobio,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,Figuier,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
Bingerville,,,,Koffakoi,,,Village,Village,abidjan_localites_base_donnees.xlsx
Bingerville,,,,Angorankoi,,,Village,Village,abidjan_localites_base_donnees.xlsx
Bingerville,,,,Amangouakoi,,,Village,Village,abidjan_localites_base_donnees.xlsx
Songon,,,,Songon-Kassemblé,,Songon-Adjamé|Adjèmin,Village,Chef-lieu de la sous-préfecture,abidjan_localites_base_donnees.xlsx
Songon,,,,Songon-Dagbé,,,Village,"Le plus grand village, fusion avec l'ancien Songon-Santé",abidjan_localites_base_donnees.xlsx
Songon,,,,Songon-Agban,,Songon-Agban-Attié 1|Songon-Agban-Attié 2,Village,Centre commercial de Songon,abidjan_localites_base_donnees.xlsx
Songon,,,,Abiaté,,Abiaté 2,Village,Village,abidjan_localites_base_donnees.xlsx
Songon,,,,Nonkouagon,,Anonkouagou,Village,Village,abidjan_localites_base_donnees.xlsx
Songon,,,,Bago,,,Village,Village,abidjan_localites_base_donnees.xlsx
Songon,,,,Guébo,,Guebo,Village,Village,abidjan_localites_base_donnees.xlsx
Songon,,,,Djépoté,,Djepote|Djèpoto Israël,Village,Village,abidjan_localites_base_donnees.xlsx
Songon,,,,Songon-Té,,,Village,Village,abidjan_localites_base_donnees.xlsx
Songon,,,,Songon-M'Brathé,,M'Brathé-Attié,Village,Village,abidjan_localites_base_donnees.xlsx
Songon,,,,Adiapoté,,,Village,Village,abidjan_localites_base_donnees.xlsx
Songon,,,,Audoin-Beugretto,,Audoin-Assadin|Audoin Aeugreto,Village,Village,abidjan_localites_base_donnees.xlsx
Songon,,,,Kossihouen,,,Village,Village,abidjan_localites_base_donnees.xlsx
Songon,Songon Gare,,,,,,Quartier,,abidjan_localites_base_donnees.xlsx
